JSON File,Configuration,Median Z-Score,Median Perplexity Increase,Below Threshold (%)
detection_results_hard.json,acro,-4.276550681174282,0.27729928493499756,74.66666666666667
detection_results_hard.json,acro + redgreen,-8.979503920358372,1.681153416633606,94.66666666666667
detection_results_hard.json,all three,-12.382356940790949,3.586050271987915,98.33333333333333
detection_results_hard.json,baseline,-0.5003222633343899,0.0,0.33333333333333337
detection_results_hard.json,redgreen,-7.307727502500127,1.0724207162857056,86.0
detection_results_hard.json,senso,-6.203569966257811,1.1032772064208984,88.66666666666667
detection_results_hard.json,senso + acro,-8.238476624345221,2.2888870239257812,97.33333333333334
detection_results_hard.json,senso + redgreen,-10.735996918282794,2.74948787689209,94.33333333333334
detection_results_medium.json,acro,-4.561351293291357,0.425872802734375,77.15053763440861
detection_results_medium.json,acro + redgreen,-7.326355168951013,0.8549939393997192,95.6989247311828
detection_results_medium.json,all three,-8.934876158186526,1.7846752405166626,98.38709677419355
detection_results_medium.json,baseline,-0.5574160721215569,0.0,2.4193548387096775
detection_results_medium.json,redgreen,-4.9944204720739105,0.5363078713417053,82.52688172043011
detection_results_medium.json,senso,-3.907544504632127,0.42844438552856445,73.9247311827957
detection_results_medium.json,senso + acro,-6.5395475811255,1.2084227800369263,93.81720430107528
detection_results_medium.json,senso + redgreen,-6.895321881149713,1.348821759223938,92.74193548387096
detection_results_soft.json,acro,-3.66647275516883,0.13936877250671387,66.66666666666666
detection_results_soft.json,acro + redgreen,-5.078232116713247,0.6307884454727173,84.15841584158416
detection_results_soft.json,all three,-5.555895834584039,0.6806105375289917,86.79867986798679
detection_results_soft.json,baseline,-0.401051762785321,0.0,1.3201320132013201
detection_results_soft.json,redgreen,-2.9310655881102314,0.31560420989990234,57.0957095709571
detection_results_soft.json,senso,-1.649754513344598,0.03397655487060547,32.67326732673268
detection_results_soft.json,senso + acro,-4.376535950677752,0.40578508377075195,75.9075907590759
detection_results_soft.json,senso + redgreen,-3.757805554055567,0.4641547203063965,69.3069306930693
