"[0.46378241330310555, 0.46378241330310555, 1.0, 1, 0]","[0.5, 0.5, 1.0, 1, 0]"
"[0.5439345542804119, 0.5883196139096936, 0.9245562130177515, 3, 0]","[0.113093026416864, 0.3135130914697375, 0.36072824227750167, 20, 1]"
"[0.03297785283606731, 0.0356688456274904, 0.9245562130177515, 3, 0]","[0.5614468379915438, 0.5614468379915438, 1.0, 1, 0]"
"[0.6895493053891838, 0.7171312776047513, 0.9615384615384615, 2, 0]","[0.0018612861690112926, 0.014332782278764111, 0.12986216721990057, 20, 2]"
"[0.3378107091057732, 0.3653760629688043, 0.9245562130177515, 3, 0]","[0.22653737190337375, 0.22653737190337375, 1.0, 1, 0]"
"[0.2384182889852986, 0.2384182889852986, 1.0, 1, 0]","[0.4027890084813436, 0.5096565928725907, 0.7903145257301459, 7, 0]"
"[0.6645406737937277, 0.7187671927752959, 0.9245562130177515, 3, 0]","[0.12409353721895326, 0.7548938111326098, 0.16438542135187031, 6, 1]"
"[0.2765391276079049, 0.2765391276079049, 1.0, 1, 0]","[0.5, 0.5, 1.0, 1, 0]"
"[0.01182936888995334, 0.01182936888995334, 1.0, 1, 0]","[0.01182936888995334, 0.01182936888995334, 1.0, 1, 0]"
"[0.29942122564073087, 0.409778622446318, 0.7306902050019843, 9, 0]","[0.37612599290693066, 0.792440738225769, 0.47464242404934404, 20, 0]"
"[0.5885300805089493, 0.8376618155537552, 0.7025867355788306, 10, 0]","[0.5, 0.5, 1.0, 1, 0]"
"[0.24074147451046868, 0.2928988136912174, 0.8219271067593517, 6, 0]","[0.056389374325621806, 0.18056241016038732, 0.3122985247900329, 14, 1]"
"[0.5, 0.5, 1.0, 1, 0]","[0.4807692307692307, 0.5, 0.9615384615384615, 2, 0]"
"[0.5, 0.5, 1.0, 1, 0]","[0.01182936888995334, 0.01182936888995334, 1.0, 1, 0]"
"[0.3294684664755206, 0.38543150575646057, 0.8548041910297263, 5, 0]","[0.03342971582236272, 0.4519697579183437, 0.07396449704142016, 3, 1]"
"[0.9033340797232225, 0.9033340797232225, 1.0, 1, 0]","[0.30849617443908495, 0.6499549109141866, 0.47464242404934404, 20, 0]"
"[0.8150555888485873, 0.8476578124025309, 0.9615384615384615, 2, 0]","[0.5039225299365856, 0.5240794311340491, 0.9615384615384615, 2, 0]"
"[0.4807692307692307, 0.5, 0.9615384615384615, 2, 0]","[0.5, 0.5, 1.0, 1, 0]"
"[0.2384182889852986, 0.2384182889852986, 1.0, 1, 0]","[0.24262875685523788, 0.24262875685523788, 1.0, 1, 0]"
"[0.2873690941292316, 0.2873690941292316, 1.0, 1, 0]","[0.11748757830144863, 0.11748757830144863, 1.0, 1, 0]"
"[0.7468202428020819, 0.7766930525141653, 0.9615384615384615, 2, 0]","[0.5394174276337131, 0.5834338897286241, 0.9245562130177515, 3, 0]"
"[0.4151322001807617, 0.4669672672241324, 0.8889963586709148, 4, 0]","[0.24262875685523788, 0.24262875685523788, 1.0, 1, 0]"
"[0.5, 0.5, 1.0, 1, 0]","[0.5879446387759092, 0.7153245512172296, 0.8219271067593517, 6, 0]"
"[0.24687916296560097, 0.24687916296560097, 1.0, 1, 0]","[0.5900879796326912, 0.6136914988179989, 0.9615384615384615, 2, 0]"
"[0.2384182889852986, 0.2384182889852986, 1.0, 1, 0]","[0.465684839723092, 0.9811277208433421, 0.47464242404934404, 20, 0]"
"[0.2417857963847559, 0.2828551835871236, 0.8548041910297263, 5, 0]","[0.09285139641001247, 0.10862300089820631, 0.8548041910297263, 5, 0]"
"[0.6564957510935321, 0.6564957510935321, 1.0, 1, 0]","[0.6137374159330581, 0.6638183890731957, 0.9245562130177515, 3, 0]"
"[0.8637236499293098, 0.9342034997635416, 0.9245562130177515, 3, 0]","[0.42502352683309, 0.8610196800829037, 0.49362812101131814, 19, 0]"
"[0.005788083349791985, 0.30515716429715956, 0.018967548617523516, 7, 2]","[0.6113643805941529, 0.635818955817919, 0.9615384615384615, 2, 0]"
"[0.7103838375447721, 0.7683511586884255, 0.9245562130177515, 3, 0]","[0.30454929059393204, 0.3705307783249685, 0.8219271067593517, 6, 0]"
