"[0.49741510700655195, 0.5595243469278182, 0.8889963586709148, 4, 0]","[9.060794671454538e-18, 0.010277127649183315, 8.816466021198604e-16, 15, 12]"
"[0.6669241392719034, 0.6669241392719034, 1.0, 1, 0]","[0.6669241392719034, 0.6669241392719034, 1.0, 1, 0]"
"[0.2042418202772842, 0.36782797978128556, 0.5552645027132752, 16, 0]","[0.0378251470166827, 0.5113959876655498, 0.07396449704142016, 3, 1]"
"[0.34416063319214346, 0.5959748626909025, 0.5774750828218062, 15, 0]","[1.066537486703659e-09, 0.2573675203477035, 4.144025187260486e-09, 10, 7]"
"[0.41262784564637395, 0.42913295947222896, 0.9615384615384615, 2, 0]","[0.41262784564637395, 0.42913295947222896, 0.9615384615384615, 2, 0]"
"[0.5491689791405664, 0.7515756682944381, 0.7306902050019843, 9, 0]","[1.616697455852048e-17, 0.10912325196996386, 1.4815334281799478e-16, 20, 14]"
"[0.31610362257934055, 0.5473891982225698, 0.5774750828218062, 15, 0]","[2.8941194398327647e-27, 0.004669995394130155, 6.197264013301732e-25, 20, 18]"
"[0.0456041633352248, 0.09992433770248721, 0.4563869462012924, 21, 0]","[0.0003945166789692061, 0.2666932749831833, 0.0014792899408284025, 3, 2]"
"[0.4414634472028886, 0.4591219850910042, 0.9615384615384615, 2, 0]","[1.1097004642804479e-07, 0.19096770022116416, 5.810932754571993e-07, 11, 6]"
"[0.3267517895888174, 0.38225337804579673, 0.8548041910297263, 5, 0]","[0.0003685388667713557, 0.24913227393743642, 0.0014792899408284025, 3, 2]"
"[0.6551069535262207, 0.7085636809339604, 0.9245562130177515, 3, 0]","[7.585522077849398e-14, 0.4118562002863696, 1.841788972115771e-13, 10, 9]"
"[0.5701186851073672, 0.6166403698121283, 0.9245562130177515, 3, 0]","[4.1312944364950574e-08, 0.49085462566705884, 8.416533573215765e-08, 6, 5]"
"[0.48604871411610595, 0.5467387007554995, 0.8889963586709148, 4, 0]","[2.6880074141668334e-11, 0.2158956530226861, 1.2450493451502612e-10, 8, 7]"
"[0.5104336696640766, 0.883905963820751, 0.5774750828218062, 15, 0]","[2.1880004697910193e-05, 0.3845629625704695, 5.689576695493856e-05, 4, 3]"
