"[0.4807692307692307, 0.5, 0.9615384615384615, 2, 0]","[0.5297548768676754, 0.5297548768676754, 1.0, 1, 0]"
"[0.6931541976879328, 0.7497155802192682, 0.9245562130177515, 3, 0]","[0.5723704362157185, 0.5723704362157185, 1.0, 1, 0]"
"[0.5781386867443998, 0.6763404915550943, 0.8548041910297263, 5, 0]","[1.7288529711199425e-11, 0.08677587653145324, 1.9923198015675396e-10, 11, 8]"
"[0.19038449041564767, 0.27097649411043634, 0.7025867355788306, 10, 0]","[2.2809826219360608e-11, 0.11448877936872404, 1.9923198015675396e-10, 11, 8]"
"[0.3484578114086099, 0.3484578114086099, 1.0, 1, 0]","[0.16011823897963096, 0.16011823897963096, 1.0, 1, 0]"
"[0.6038796872538932, 0.6038796872538932, 1.0, 1, 0]","[3.3188352764815574e-10, 0.10252405748504745, 3.237128297390679e-09, 7, 6]"
"[0.2508033435647245, 0.34324169374084246, 0.7306902050019843, 9, 0]","[1.2111683998497927e-09, 0.37414902610627687, 3.237128297390679e-09, 7, 6]"
"[0.5773311544272602, 0.7597284132537462, 0.7599178132020633, 8, 0]","[2.0659645083271014e-05, 0.3631139219835713, 5.689576695493856e-05, 4, 3]"
"[0.7461847531744734, 0.7461847531744734, 1.0, 1, 0]","[0.7461847531744734, 0.7461847531744734, 1.0, 1, 0]"
"[0.4598025935425836, 0.6292715988184554, 0.7306902050019843, 9, 0]","[0.18655902626573062, 0.18655902626573062, 1.0, 1, 0]"
